0,1,2,3,4,paths
1,0,0,1,1,Shifting_cultivation/100/10/10_2100_3600.tif
1,0,0,0,0,Industrial_agriculture/100/31/31_1300_2300.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_6700_1900.tif
0,0,0,0,0,misc/100/81/81_8900_4300.tif
0,0,0,0,0,misc/100/74/74_3400_5200.tif
0,1,0,0,0,ISL/100/55/55_4100_1000.tif
0,0,0,0,0,misc/100/81/81_2100_12900.tif
0,0,0,0,0,misc/100/60/60_1600_9000.tif
0,1,0,1,0,Roads/100/89/89_3500_2200.tif
0,0,0,0,1,Shifting_cultivation/100/101/101_2200_2600.tif
0,1,0,0,0,ISL/100/74/74_2600_2000.tif
0,0,0,0,0,misc/100/33/33_400_2000.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_1600_1500.tif
0,1,0,0,0,ISL/100/64/64_2400_2200.tif
0,0,0,1,0,Roads/100/55/55_2100_3700.tif
0,0,0,0,0,misc/100/29/29_3000_2000.tif
0,1,0,0,0,ISL/100/21/21_1600_1600.tif
0,0,0,0,0,misc/100/60/60_4400_7100.tif
0,0,0,0,0,misc/100/101/101_300_300.tif
0,0,0,1,1,Shifting_cultivation/100/101/101_1400_3500.tif
0,0,0,0,0,misc/100/48/48_1600_700.tif
0,0,0,0,0,misc/100/75/75_700_2100.tif
0,0,0,1,0,Roads/100/27/27_400_1300.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_8000_4600.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_6300_2600.tif
1,0,0,0,0,Industrial_agriculture/100/10/10_2700_2500.tif
1,0,0,0,0,Industrial_agriculture/100/27/27_1000_700.tif
0,0,0,0,0,misc/100/25/25_1500_500.tif
0,0,0,1,0,Roads/100/66/66_2900_1900.tif
0,0,0,1,0,Roads/100/55/55_2400_4400.tif
0,1,0,0,0,ISL/100/55/55_3700_2200.tif
0,1,0,0,0,ISL/100/75/75_4200_4100.tif
0,1,0,0,0,ISL/100/74/74_4200_3600.tif
0,0,0,0,0,misc/100/18/18_2700_3600.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_9100_3100.tif
0,0,0,0,0,misc/100/22/22_2600_3200.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_700_1500.tif
0,1,0,0,0,ISL/100/64/64_600_1500.tif
0,1,0,0,0,ISL/100/21/21_1500_500.tif
0,1,0,0,0,ISL/100/39/39_2500_2400.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_2800_2200.tif
0,0,0,0,0,misc/100/12/12_0_3100.tif
0,0,0,0,0,misc/100/60/60_2300_8800.tif
0,0,1,0,0,Mining/100/86/86_1400_1700.tif
0,0,0,1,0,Roads/100/33/33_1700_1600.tif
0,0,0,1,0,Roads/100/74/74_3600_3100.tif
0,1,0,0,0,ISL/100/89/89_2100_3500.tif
0,1,0,0,0,ISL/100/32/32_900_1800.tif
0,0,0,1,0,Roads/100/27/27_1200_1600.tif
0,0,0,0,0,misc/100/10/10_1500_4900.tif
0,0,0,0,1,Shifting_cultivation/100/66/66_3700_1300.tif
0,1,0,0,0,ISL/100/22/22_2200_2600.tif
0,1,0,0,0,ISL/100/89/89_2600_4000.tif
0,1,0,0,0,ISL/100/74/74_3400_5300.tif
0,1,0,0,0,ISL/100/39/39_2500_1900.tif
0,0,1,0,0,Mining/100/86/86_1600_2900.tif
0,0,0,0,1,Shifting_cultivation/100/101/101_1300_4200.tif
1,0,0,0,0,Industrial_agriculture/100/10/10_3300_2400.tif
0,1,0,0,0,ISL/100/21/21_1600_1800.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_7400_11100.tif
0,1,0,0,0,ISL/100/44/44_1100_1900.tif
0,1,0,0,0,ISL/100/21/21_1700_2200.tif
0,1,0,0,0,ISL/100/77/77_1000_700.tif
0,0,0,0,0,misc/100/78/78_3800_0.tif
0,0,1,0,0,Mining/100/86/86_1300_1900.tif
0,1,0,0,0,ISL/100/55/55_3300_2700.tif
0,0,0,0,1,Shifting_cultivation/100/66/66_3500_2000.tif
0,1,0,1,0,ISL/100/84/84_1900_1500.tif
0,0,0,1,0,Roads/100/55/55_2200_4300.tif
0,1,0,0,0,ISL/100/89/89_1100_1500.tif
0,0,0,1,1,Shifting_cultivation/100/19/19_700_1300.tif
0,0,0,0,0,misc/100/25/25_1100_1700.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_2700_2500.tif
0,0,0,1,0,Roads/100/66/66_3100_1600.tif
0,1,0,0,0,ISL/100/55/55_2100_1400.tif
1,0,0,0,0,Industrial_agriculture/100/27/27_1000_1200.tif
0,1,0,0,0,ISL/100/84/84_900_900.tif
0,0,0,1,0,Roads/100/55/55_2400_4000.tif
0,1,0,0,0,ISL/100/37/37_2300_1500.tif
0,1,0,0,0,ISL/100/33/33_2000_900.tif
0,0,0,0,0,misc/100/66/66_200_1400.tif
0,1,0,0,0,ISL/100/32/32_2200_2600.tif
0,0,0,0,1,Shifting_cultivation/100/19/19_3400_4000.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_2800_1500.tif
0,0,0,0,0,misc/100/7/7_3300_900.tif
0,0,0,0,0,misc/100/66/66_2900_3200.tif
0,1,0,0,0,ISL/100/29/29_1300_2600.tif
0,0,0,0,0,misc/100/32/32_3300_3900.tif
0,0,0,1,1,Shifting_cultivation/100/19/19_800_2100.tif
0,0,0,0,0,misc/100/10/10_2100_1000.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_6100_2600.tif
0,1,0,0,0,ISL/100/48/48_1200_800.tif
0,0,0,0,0,misc/100/23/23_400_700.tif
0,0,0,0,0,misc/100/53/53_1600_500.tif
0,0,0,0,0,misc/100/81/81_6200_13100.tif
0,0,0,1,1,Roads/100/19/19_700_1600.tif
0,0,1,0,0,Mining/100/86/86_1100_2300.tif
0,0,0,0,1,Shifting_cultivation/100/66/66_3000_2300.tif
0,1,0,0,0,ISL/100/33/33_2000_1400.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_1400_4800.tif
0,1,0,0,0,ISL/100/74/74_2800_5300.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_5600_3700.tif
0,0,0,0,1,Shifting_cultivation/100/30/30_1100_600.tif
0,0,0,1,0,Roads/100/85/85_2700_3600.tif
0,0,0,0,1,Shifting_cultivation/100/19/19_2500_3100.tif
0,0,0,0,1,Shifting_cultivation/100/101/101_1500_3300.tif
0,1,0,0,0,ISL/100/74/74_3500_4300.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_6100_10200.tif
0,0,0,0,0,misc/100/19/19_1700_3000.tif
0,0,0,0,0,misc/100/81/81_400_8900.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_1500_4800.tif
1,0,0,0,0,Industrial_agriculture/100/10/10_2000_2400.tif
0,1,0,0,0,ISL/100/55/55_2900_3100.tif
0,0,0,0,0,misc/100/92/92_5500_4100.tif
0,0,0,0,0,misc/100/81/81_10100_9900.tif
0,1,0,0,0,ISL/100/74/74_1300_1400.tif
0,1,0,0,0,ISL/100/29/29_500_1700.tif
0,1,0,0,0,ISL/100/25/25_1300_3200.tif
1,0,0,0,0,Industrial_agriculture/100/58/58_700_800.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_5400_3800.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_7800_10900.tif
0,0,0,0,0,misc/100/81/81_3000_9800.tif
0,0,0,0,0,misc/100/84/84_800_2200.tif
0,0,0,0,1,Shifting_cultivation/100/101/101_2100_1100.tif
0,0,0,1,0,Roads/100/30/30_500_1500.tif
0,1,0,0,0,ISL/100/75/75_2700_4300.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_3600_9200.tif
0,0,0,0,0,misc/100/58/58_500_0.tif
0,0,0,0,0,misc/100/86/86_700_2100.tif
0,0,0,0,0,misc/100/21/21_1100_3100.tif
0,0,0,0,0,misc/100/44/44_3300_3600.tif
1,0,0,1,0,Industrial_agriculture/100/10/10_1100_2200.tif
0,1,0,0,0,ISL/100/75/75_3800_3500.tif
0,1,0,0,0,ISL/100/48/48_1100_3000.tif
0,0,0,0,0,misc/100/53/53_2000_3000.tif
1,0,0,0,1,Shifting_cultivation/100/9/9_1000_1200.tif
1,0,0,0,0,Industrial_agriculture/100/58/58_1100_600.tif
0,1,0,0,0,ISL/100/89/89_1700_1900.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_5000_4600.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_7600_3500.tif
1,0,0,0,0,Industrial_agriculture/100/9/9_2700_2200.tif
0,0,0,1,0,Roads/100/30/30_800_400.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_8300_3000.tif
